# Assembly name:  GRCm38.p6
# Description:    Genome Reference Consortium Mouse Build 38 patch release 6 (GRCm38.p6)
# Organism name:  Mus musculus (house mouse)
# Infraspecific name:  strain=C57BL/6J
# Taxid:          10090
# BioProject:     PRJNA20689
# Submitter:      Genome Reference Consortium
# Date:           2017-09-15
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001635.8
# RefSeq assembly accession: GCF_000001635.26
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000055.2	GCF_000000055.19	Primary Assembly (C57BL/6J)
## GCA_000291555.6	GCF_000291555.6	PATCHES
## GCA_000000495.1	GCF_000000495.3	129P2/OlaHsd
## GCA_000001665.1	GCF_000001665.3	129S1/SvImJ
## GCA_000001675.1	GCF_000001675.3	129S2/SvPas
## GCA_000000395.2	GCF_000000395.5	129S6/SvEvTac
## GCA_000237955.1	GCF_000237955.1	129X1/SvJ
## GCA_000000325.1	GCF_000000325.5	A/J
## GCA_000000425.1	GCF_000000425.1	AKR/J
## GCA_000000335.2	GCF_000000335.9	BALB/c
## GCA_000000465.2	GCF_000000465.4	CAST/Ei
## GCA_000001715.1	GCF_000001715.3	NOD/MrkTac
## GCA_000001705.1	GCF_000001705.1	NOD/ShiLtJ
## GCA_000001725.1	GCF_000001725.3	RIII
## GCA_000000385.2	GCF_000000385.11	UNKNOWN
## GCA_000001685.1	GCF_000001685.3	129S7/SvEvBrd-Hprt-b-m2
## GCA_000004175.1	GCF_000004175.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM000994.2	=	NC_000067.6	C57BL/6J	195471971	chr1
2	assembled-molecule	2	Chromosome	CM000995.2	=	NC_000068.7	C57BL/6J	182113224	chr2
3	assembled-molecule	3	Chromosome	CM000996.2	=	NC_000069.6	C57BL/6J	160039680	chr3
4	assembled-molecule	4	Chromosome	CM000997.2	=	NC_000070.6	C57BL/6J	156508116	chr4
5	assembled-molecule	5	Chromosome	CM000998.2	=	NC_000071.6	C57BL/6J	151834684	chr5
6	assembled-molecule	6	Chromosome	CM000999.2	=	NC_000072.6	C57BL/6J	149736546	chr6
7	assembled-molecule	7	Chromosome	CM001000.2	=	NC_000073.6	C57BL/6J	145441459	chr7
8	assembled-molecule	8	Chromosome	CM001001.2	=	NC_000074.6	C57BL/6J	129401213	chr8
9	assembled-molecule	9	Chromosome	CM001002.2	=	NC_000075.6	C57BL/6J	124595110	chr9
10	assembled-molecule	10	Chromosome	CM001003.2	=	NC_000076.6	C57BL/6J	130694993	chr10
11	assembled-molecule	11	Chromosome	CM001004.2	=	NC_000077.6	C57BL/6J	122082543	chr11
12	assembled-molecule	12	Chromosome	CM001005.2	=	NC_000078.6	C57BL/6J	120129022	chr12
13	assembled-molecule	13	Chromosome	CM001006.2	=	NC_000079.6	C57BL/6J	120421639	chr13
14	assembled-molecule	14	Chromosome	CM001007.2	=	NC_000080.6	C57BL/6J	124902244	chr14
15	assembled-molecule	15	Chromosome	CM001008.2	=	NC_000081.6	C57BL/6J	104043685	chr15
16	assembled-molecule	16	Chromosome	CM001009.2	=	NC_000082.6	C57BL/6J	98207768	chr16
17	assembled-molecule	17	Chromosome	CM001010.2	=	NC_000083.6	C57BL/6J	94987271	chr17
18	assembled-molecule	18	Chromosome	CM001011.2	=	NC_000084.6	C57BL/6J	90702639	chr18
19	assembled-molecule	19	Chromosome	CM001012.2	=	NC_000085.6	C57BL/6J	61431566	chr19
X	assembled-molecule	X	Chromosome	CM001013.2	=	NC_000086.7	C57BL/6J	171031299	chrX
Y	assembled-molecule	Y	Chromosome	CM001014.2	=	NC_000087.7	C57BL/6J	91744698	chrY
MMCHR1_RANDOM_CTG1	unlocalized-scaffold	1	Chromosome	GL456210.1	=	NT_166280.1	C57BL/6J	169725	chr1_GL456210_random
MMCHR1_RANDOM_CTG2	unlocalized-scaffold	1	Chromosome	GL456211.1	=	NT_166281.1	C57BL/6J	241735	chr1_GL456211_random
MMCHR1_RANDOM_CTG3	unlocalized-scaffold	1	Chromosome	GL456212.1	=	NT_166282.1	C57BL/6J	153618	chr1_GL456212_random
MMCHR1_RANDOM_CTG4	unlocalized-scaffold	1	Chromosome	GL456213.1	=	NT_166283.1	C57BL/6J	39340	chr1_GL456213_random
MMCHR1_RANDOM_CTG5	unlocalized-scaffold	1	Chromosome	GL456221.1	=	NT_162750.1	C57BL/6J	206961	chr1_GL456221_random
MMCHR4UN_CTG1	unlocalized-scaffold	4	Chromosome	GL456216.1	=	NT_166291.1	C57BL/6J	66673	chr4_GL456216_random
MMCHR4UN_CTG3	unlocalized-scaffold	4	Chromosome	GL456350.1	=	NT_166434.1	C57BL/6J	227966	chr4_GL456350_random
MMCHR4UN_CTG2	unlocalized-scaffold	4	Chromosome	JH584292.1	=	NT_187052.1	C57BL/6J	14945	chr4_JH584292_random
MMCHR4UN_CTG4	unlocalized-scaffold	4	Chromosome	JH584293.1	=	NT_187053.1	C57BL/6J	207968	chr4_JH584293_random
MMCHR4UN_CTG5	unlocalized-scaffold	4	Chromosome	JH584294.1	=	NT_187054.1	C57BL/6J	191905	chr4_JH584294_random
MMCHR4UN_CTG6	unlocalized-scaffold	4	Chromosome	JH584295.1	=	NT_187055.1	C57BL/6J	1976	chr4_JH584295_random
MMCHR5_RANDOM_CTG4	unlocalized-scaffold	5	Chromosome	GL456354.1	=	NT_166438.1	C57BL/6J	195993	chr5_GL456354_random
MMCHR5_RANDOM_CTG1	unlocalized-scaffold	5	Chromosome	JH584296.1	=	NT_187056.1	C57BL/6J	199368	chr5_JH584296_random
MMCHR5_RANDOM_CTG2	unlocalized-scaffold	5	Chromosome	JH584297.1	=	NT_187057.1	C57BL/6J	205776	chr5_JH584297_random
